title,author,genres,description,published_year,average_rating,num_pages,ratings_count
The Weight of Silence,Heather Gudenkauf (Goodreads Author),"['Fiction', 'Mystery', 'Suspense', 'Thriller', 'Contemporary', 'Mystery Thriller', 'Adult', 'Adult Fiction', 'Drama', 'Crime']","It happens quietly one August morning. As dawn's shimmering light drenches the humid Iowa air, two families awaken to find their little girls have gone missing in the night.Seven-year-old Calli Clark is sweet, gentle, a dreamer who suffers from selective mutism brought on by tragedy that pulled her deep into silence as a toddler.Calli's mother, Antonia, tried to be the best mother she could within the confines of marriage to a mostly absent, often angry husband. Now, though she denies that her husband could be involved in the possible abductions, she fears her decision to stay in her marriage has cost her more than her daughter's voice.Petra Gregory is Calli's best friend, her soul mate and her voice. But neither Petra nor Calli has been heard from since their disappearance was discovered. Desperate to find his child, Martin Gregory is forced to confront a side of himself he did not know existed beneath his intellectual, professorial demeanor.Now these families are tied by the question of what happened to their children. And the answer is trapped in the silence of unspoken family secrets.",2009,3.93,373,40280
Frenchman's Creek,"Daphne du Maurier, Julie Myerson (Introduction)","['Classics', 'Historical Fiction', 'Fiction', 'Romance', 'Historical', 'Pirates', 'Adventure', 'Gothic', 'Historical Romance', 'British Literature']","Bored and restless in London's Restoration Court, Lady Dona escapes into the British countryside with her restlessness and thirst for adventure as her only guides.Eventually Dona lands in remote Navron, looking for peace of mind in its solitary woods and hidden creeks. She finds the passion her spirit craves in the love of a daring French pirate who is being hunted by all of Cornwall.Together, they embark upon a quest rife with danger and glory, one which bestows upon Dona the ultimate choice: sacrifice her lover to certain death or risk her own life to save him.",2003,3.95,260,13012
Fyodor Dostoyevsky's Crime and Punishment,"John D. Simons, Monarch Notes","['Classics', 'Fiction', 'Russia', 'Novels', 'Literature', 'Philosophy']",No Description Available,1988,4.37,97,1535
Through the Zombie Glass,Gena Showalter (Goodreads Author),"['Young Adult', 'Zombies', 'Fantasy', 'Paranormal', 'Romance', 'Horror', 'Supernatural', 'Retellings', 'Paranormal Romance', 'Fiction']","Zombies stalk the night.Forget blood and brains. These monsters hunger for human souls.Sadly, they've got mine...Alice Bell has lost so much. Family. Friends. A home. She thought she had nothing else to give. She was wrong.After a new zombie attack, strange things begin to happen to her. Mirrors come to life, and the whispers of the dead assault her ears. But the worst? A terrible darkness blooms inside her, urging her to do very wicked things.She's never needed her team of zombie slayers more, but ultra bad-boy Cole Holland, the leader and her boyfriend, suddenly withdraws from her...from everyone. Now, with her best friend, Kat, at her side, Ali must kill the zombies, uncover Cole's secret and learn to fight the darkness.But the clock is ticking...and if she fails at a single task, they're all doomed.",2013,4.28,480,17511
The War That Saved My Life,Kimberly Brubaker Bradley (Goodreads Author),"['Historical Fiction', 'Middle Grade', 'Fiction', 'Young Adult', 'Historical', 'Childrens', 'World War II', 'War', 'Audiobook', 'Juvenile']","An exceptionally moving story of triumph against all odds set during World War 2, from the acclaimed author of Jefferson’s Sons and for fans of Number the Stars.   Ten-year-old Ada has never left her one-room apartment. Her mother is too humiliated by Ada’s twisted foot to let her outside. So when her little brother Jamie is shipped out of London to escape the war, Ada doesn’t waste a minute—she sneaks out to join him.   So begins a new adventure of Ada, and for Susan Smith, the woman who is forced to take the two kids in. As Ada teaches herself to ride a pony, learns to read, and watches for German spies, she begins to trust Susan—and Susan begins to love Ada and Jamie. But in the end, will their bond be enough to hold them together through wartime? Or will Ada and her brother fall back into the cruel hands of their mother?   This masterful work of historical fiction is equal parts adventure and a moving tale of family and identity—a classic in the making.",2015,4.49,316,61856
State of Wonder,Ann Patchett,"['Fiction', 'Contemporary', 'Book Club', 'Literary Fiction', 'Adult Fiction', 'Adult', 'Mystery', 'Novels', 'Audiobook', 'Adventure']","As Dr. Marina Singh embarks upon an uncertain odyssey into the insect-infested Amazon, she will be forced to surrender herself to the lush but forbidding world that awaits within the jungle. Charged with finding her former mentor Dr. Annick Swenson, a researcher who has disappeared while working on a valuable new drug, she will have to confront her own memories of tragedy and sacrifice as she journeys into the unforgiving heart of darkness.",2011,3.88,353,164487
Last Chance to See,"Douglas Adams, Mark Carwardine","['Nonfiction', 'Science', 'Travel', 'Nature', 'Humor', 'Animals', 'Environment', 'Biology', 'Essays', 'Conservation']","Join author Douglas Adams and zoologist Mark Carwardine as they take off around the world in search of exotic, endangered creatures.",1992,4.3,256,21278
The Last Sunset,Bob Atkinson (Goodreads Author),"['Time Travel', 'Historical Fiction', 'Fantasy', 'Scotland', 'Historical', 'Romance', 'War', 'Science Fiction', 'Fiction', 'Mystery']","Description: The year… 1746.

Around Fort William, the Scottish Highlanders are in revolt and the Redcoats are coming…

Suddenly… time shifts… people from different eras are dumped at this one turning point in history.

In the future, Nuclear Armageddon has caused this powerful blast through time, but why?

Can history be changed?

Or is the future doomed to witness…

The Last Sunset?",2012,3.88,262,146
Raven's Gate,Anthony Horowitz (Goodreads Author),"['Fantasy', 'Young Adult', 'Horror', 'Fiction', 'Paranormal', 'Adventure', 'Supernatural', 'Mystery', 'Magic', 'Thriller']","He always knew he was different.First there were the dreams.Then the deaths began. When Matt Freeman gets into trouble with the police, he's sent to be fostered in Yorkshire. It's not long before he senses there's something wrong with his guardian; with the whole village. Then Matt learns about the Old Ones and begins to understand just how he is different. But no one will believe him; no one can help. There is no proof. There is no logic. There is just the Gate.",2006,3.9,270,23781
On the Banks of Plum Creek,"Laura Ingalls Wilder, Garth Williams (Illustrator)","['Classics', 'Historical Fiction', 'Childrens', 'Fiction', 'Young Adult', 'Historical', 'Middle Grade', 'Juvenile', 'Family', 'Chapter Books']","The adventures of Laura Ingalls and her family continue as they leave their little house on the prairie and travel in their covered wagon to Minnesota. They settle into a house made of sod on the banks of beautiful Plum Creek. Soon Pa builds them a sturdier house, with real glass windows and a hinged door. Laura and Mary go to school, help with the chores around the house, and fish in the creek. Pa’s fiddle lulls them all to sleep at the end of the day. But then disaster strikes—on top of a terrible blizzard, a grasshopper infestation devours their wheat crop. Now the family must work harder than ever to overcome these challenges.",2007,4.2,358,91270
The Running Man,"Richard Bachman (Pseudonym), Stephen King (Goodreads Author)","['Horror', 'Fiction', 'Science Fiction', 'Dystopia', 'Thriller', 'Fantasy', 'Suspense', 'Audiobook', 'Novels', 'Adventure']","The Running Man is set within a dystopian future in which the poor are seen more by the government as worrisome rodents than actual human beings. The protagonist of The Running Man, Ben Richards, is quick to realize this as he watches his daughter, Cathy, grow more sick by the day and tread closer and closer to death. Desperate for money to pay Cathy’s medical bills, Ben enlists himself in a true reality style game show where the objective is to merely stay alive.",1999,3.87,317,102812
The Borrowers,"Mary Norton, Beth Krush (Illustrations), Joe Krush (Illustrations)","['Fantasy', 'Childrens', 'Classics', 'Fiction', 'Young Adult', 'Middle Grade', 'Adventure', 'Juvenile', 'Chapter Books', 'Kids']","Beneath the kitchen floor is the world of the Borrowers -- Pod and Homily Clock and their daughter, Arrietty. In their tiny home, matchboxes double as roomy dressers and postage stamps hang on the walls like paintings. Whatever the Clocks need they simply ""borrow"" from the ""human beans"" who live above them. It's a comfortable life, but boring if you're a kid. Only Pod is allowed to venture into the house above, because the danger of being seen by a human is too great. Borrowers who are seen by humans are never seen again. Yet Arrietty won't listen. There is a human boy up there, and Arrietty is desperate for a friend.",2003,4.03,180,89078
The People of Sparks,Jeanne DuPrau,"['Young Adult', 'Dystopia', 'Fantasy', 'Fiction', 'Science Fiction', 'Middle Grade', 'Post Apocalyptic', 'Childrens', 'Adventure', 'Teen']","An alternate cover can be found here.The sequel to the critically acclaimed The City of Ember continues the story of Lina and Doon, who have emerged from the underground city to the exciting new world above. When anonymous acts of vandalism push them toward violence, it's up to Lina and Doon to discover who's behind the vandalism and why.",2004,3.67,338,51190
Death Masks,Jim Butcher (Goodreads Author),"['Fantasy', 'Urban Fantasy', 'Fiction', 'Mystery', 'Paranormal', 'Magic', 'Audiobook', 'Vampires', 'Supernatural', 'Science Fiction Fantasy']","Harry Dresden, Chicago's only practicing professional wizard, should be happy that business is pretty good for a change. But now he's getting more than he bargained for:A duel with the Red Court of Vampires' champion, who must kill Harry to end the war between vampires and wizards...Professional hit men using Harry for target practice...The missing Shroud of Turin...A handless and headless corpse the Chicago police need identified...Not to mention the return of Harry's ex-girlfriend Susan, who's still struggling with her semi-vampiric nature. And who seems to have a new man in her life.Some days, it just doesn't pay to get out of bed. No matter how much you're charging.",2003,4.29,432,117457
"Forgive Me, Leonard Peacock",Matthew Quick (Goodreads Author),"['Young Adult', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Mental Health', 'Mental Illness', 'Audiobook', 'Teen', 'Abuse', 'Coming Of Age']","Today is Leonard Peacock’s birthday. It is also the day he hides a gun in his backpack. Because today is the day he will kill his former best friend, and then himself, with his grandfather’s P-38 pistol.But first he must say good-bye to the four people who matter most to him: his Humphrey Bogart-obsessed next-door neighbor, Walt; his classmate, Baback, a violin virtuoso; Lauren, the Christian homeschooler he has a crush on; and Herr Silverman, who teaches the high school’s class on the Holocaust. Speaking to each in turn, Leonard slowly reveals his secrets as the hours tick by and the moment of truth approaches.In this riveting look at a day in the life of a disturbed teenage boy, acclaimed author Matthew Quick unflinchingly examines the impossible choices that must be made—and the light in us all that never goes out.",2013,3.89,288,41357
Blood and Guts in High School,Kathy Acker,"['Fiction', 'Feminism', 'Thriller', 'Novels', 'Drama', 'Mystery', 'Suspense', 'Literature', 'Contemporary', 'Cult Classics']","Janey lived in the locked room. Twice a day the Persian slave trader came in and taught her to be a whore. Otherwise there was nothing. One day she found a pencil stub and scrap of paper in a forgotten corner of the room. She began to write down her life, starting with ""Parents stink"" (her father, who is also her boyfriend, has fallen in love with another woman and is about to leave her). With Blood and Guts in High School, Kathy Acker, whose work has been labeled everything from post-punk porn to post-punk feminism, has created a brilliantly subversive narrative built from conversation, description, conjecture, and moments snatched from history and literature.~ groveatlantic.com",1984,3.39,165,5323
Legacy,Shannon Messenger (Goodreads Author),"['Fantasy', 'Middle Grade', 'Young Adult', 'Adventure', 'Fiction', 'Romance', 'Childrens', 'Young Adult Fantasy', 'Audiobook', 'Urban Fantasy']","Illusions shatter—and Sophie and her friends face impossible choices—in this astonishing eighth book in the New York Times and USA TODAY bestselling Keeper of the Lost Cities series.Sophie Foster wants answers. But after a lifetime of lies, sometimes the truth is the most dangerous discovery. Even the smallest secret comes with terrifying new responsibilities.  And Sophie’s not the only one with blank spots in her past, or mysteries surrounding her family. She and her friends are part of something much bigger than they imagined—and their roles have already been chosen for them. Every clue drags them deeper into the conspiracy. Every memory forces them to question everything—especially one another. And the harder they fight, the more the lines blur between friend and enemy.",2019,4.53,797,7396
Amerika,"Franz Kafka, Willa Muir (Translator), Edwin Muir (Translator), Klaus Mann (Preface), E.L. Doctorow (Foreword)","['Fiction', 'Classics', 'Literature', 'German Literature', 'Novels', 'Czech Literature', '20th Century', 'Philosophy', 'Literary Fiction', 'Classic Literature']","Kafka's first and funniest novel, Amerika tells the story of the young immigrant Karl Rossmann who, after an embarrassing sexual misadventure, finds himself ""packed off to America"" by his parents. Expected to redeem himself in this magical land of opportunity, young Karl is swept up instead in a whirlwind of dizzying reversals, strange escapades, and picaresque adventures.Although Kafka never visited America, images of its vast landscape, dangers, and opportunities inspired this saga of the ""golden land."" Here is a startlingly modern, fantastic and visionary tale of America ""as a place no one has yet seen, in a historical period that can't be identified,"" writes E. L. Doctorow in his new foreword. ""Kafka made his novel from his own mind's mythic elements,"" Doctorow explains, ""and the research data that caught his eye were bent like rays in a field of gravity.""",1996,3.75,336,22879
Every Dead Thing,John Connolly (Goodreads Author),"['Mystery', 'Thriller', 'Crime', 'Fiction', 'Horror', 'Mystery Thriller', 'Suspense', 'Detective', 'Paranormal', 'Supernatural']","Tortured and brilliant private detective Charlie Parker stars in this thriller by New York Times bestselling author John Connolly.Former NYPD detective Charlie ""Bird"" Parker is on the verge of madness. Tortured by the unsolved slayings of his wife and young daughter, he is a man consumed by guilt, regret, and the desire for revenge. When his former partner asks him to track down a missing girl, Parker finds himself drawn into a world beyond his imagining: a world where thirty-year-old killings remain shrouded in fear and lies, a world where the ghosts of the dead torment the living, a world haunted by the murderer responsible for the deaths in his family—a serial killer who uses the human body to create works of art and takes faces as his prize. But the search awakens buried instincts in Parker: instincts for survival, for compassion, for love, and, ultimately, for killing.Aided by a beautiful young psychologist and a pair of bickering career criminals, Parker becomes the bait in a trap set in the humid bayous of Louisiana, a trap that threatens the lives of everyone in its reach. Driven by visions of the dead and the voice of an old black psychic who met a terrible end, Parker must seek a final, brutal confrontation with a murderer who has moved beyond all notions of humanity, who has set out to create a hell on earth: the serial killer known only as the Traveling Man.In the tradition of classic American detective fiction, Every Dead Thing is a tense, richly plotted thriller, filled with memorable characters and gripping action. It is also a profoundly moving novel, concerned with the nature of loyalty, love, and forgiveness. Lyrical and terrifying, it is an ambitious debut, triumphantly realized.",2000,3.98,467,25694
Where Things Come Back,John Corey Whaley,"['Young Adult', 'Contemporary', 'Fiction', 'Realistic Fiction', 'Mystery', 'Teen', 'Coming Of Age', 'Young Adult Contemporary', 'Family', 'Religion']","Just when seventeen-year-old Cullen Witter thinks he understands everything about his small and painfully dull Arkansas town, it all disappears. . . . In the summer before Cullen's senior year, a nominally-depressed birdwatcher named John Barling thinks he spots a species of woodpecker thought to be extinct since the 1940s in Lily, Arkansas. His rediscovery of the so-called Lazarus Woodpecker sparks a flurry of press and woodpecker-mania. Soon all the kids are getting woodpecker haircuts and everyone's eating ""Lazarus burgers."" But as absurd as the town's carnival atmosphere has become, nothing is more startling than the realization that Cullen’s sensitive, gifted fifteen-year-old brother Gabriel has suddenly and inexplicably disappeared. While Cullen navigates his way through a summer of finding and losing love, holding his fragile family together, and muddling his way into adulthood, a young missionary in Africa, who has lost his faith, is searching for any semblance of meaning wherever he can find it. As distant as the two stories seem at the start, they are thoughtfully woven ever closer together and through masterful plotting, brought face to face in a surprising and harrowing climax. Complex but truly extraordinary, tinged with melancholy and regret, comedy and absurdity, this novel finds wonder in the ordinary and emerges as ultimately hopeful. It's about a lot more than what Cullen calls, “that damn bird.” It’s about the dream of second chances.",2011,3.8,228,19805
Still Life With Crows,"Douglas Preston (Goodreads Author), Lincoln Child","['Thriller', 'Mystery', 'Fiction', 'Horror', 'Mystery Thriller', 'Suspense', 'Crime', 'Audiobook', 'Adventure', 'Detective']","A small Kansas town has turned into a killing ground.
Is it a serial killer, a man with the need to destroy?
Or is it a darker force, a curse upon the land?
Amid golden cornfields, FBI Special Agent Pendergast discovers evil in the blood of America's heartland.
No one is safe.",2004,4.17,564,33389
Succubus Shadows,Richelle Mead (Goodreads Author),"['Urban Fantasy', 'Paranormal', 'Fantasy', 'Romance', 'Paranormal Romance', 'Demons', 'Vampires', 'Adult', 'Angels', 'Supernatural']","Georgina Kincaid has formidable powers. Immortality, seduction, shape-shifting into any human form she desires, walking in heels that would cripple mere mortals -- all child's play to a succubus like her.Helping to plan her ex-boyfriend's wedding is a different story. Georgina isn't sure which is worse -- that Seth is marrying another woman, or that Georgina has to run all over Seattle trying on bridesmaid dresses. Still, there are distractions. Georgina's roommate, Roman, is cluttering her apartment with sexual tension. Then there's Simone, the new succubus in town, who's intent on corrupting Seth.But the real danger lies in the mysterious force that's visiting her thoughts, trying to draw her into a dark, otherworldly realm. Sooner or later, Georgina knows she'll be too weak to resist. And when that happens, she'll discover who she can trust, who she can't -- and that Hell is far from the worst place to spend eternity...",2010,4.17,281,22909
Martin the Warrior,Brian Jacques,"['Fantasy', 'Fiction', 'Young Adult', 'Childrens', 'Animals', 'Adventure', 'Middle Grade', 'Science Fiction Fantasy', 'High Fantasy', 'Novels']","Finally, the long awaited tale of Martin, the Warrior mouse of Redwall

As a child, Martin was brought to the stronghold of Badrang the Tyrant, forced into enslavement behind its massive walls. But he was strong. He was brave. And mere escape was not his plan as long as his father’s sword rested in Badrang’s ruthless fist…",1999,4.15,376,39931
دروس مبسطة في علم الاقتصاد,"Robert P. Murphy, رحاب صلاح الدين","['Economics', 'Nonfiction', 'Social Science', 'Business', 'Finance']",هذا الكتاب هو أفضل مقدمة للمبتدئين فى علم الاقتصاد، لأنه يتناول مبادئ النظرية الاقتصادية البحتة، فضلًا عن كيفية عمل الأسواق. يتمتع روبرت ميرفى مؤلف الكتاب بعقلية صائبة وإلمام جيد بالموضوع، أكسباه براعة فى مجال التدريس. الكتاب بعيد كل البعد عن الرتابة أو عدم الجدوى، حتى للقراء الذين هم على دراية بالموضوع؛ فكل صفحة من صفحاته تكشف النقاب عن أفكار جديدة ربما تكون قد طرحت فى كتب تمهيدية أخرى، لكن العرض المنطقى المتجانس الذى يتبناه ميرفى يجعل كتابه مثيرًا للإعجاب ومتميزًا عن غيره. يمكن لأى قارئ الاستمتاع بقراءة الكتاب والاستفادة منهISBN13: 9789775171283,2013,4.01,383,536
Jesus the Christ,James E. Talmage,"['Religion', 'Lds', 'Nonfiction', 'Church', 'Spirituality', 'Biography', 'Inspirational', 'History', 'Lds Non Fiction', 'Christian']","First published in 1915, Jesus the Christ is the classic Latter-day Saint presentation of the life and ministry of the Savior. Elder Marion G. Romney said, ""One who gets the understanding, the vision, and the spirit of the resurrected Lord through a careful study of the text Jesus the Christ by Elder James E. Talmage will find that he has greatly increased his moving faith in our glorified Redeemer."" This special edition has been completely retypeset for added readability, and for the first time the chapter endnotes have been included with the footnotes for ready reference.",2001,4.62,747,21512
Betrayals,"Lili St. Crow, Lilith Saintcrow (Goodreads Author)","['Young Adult', 'Vampires', 'Paranormal', 'Fantasy', 'Urban Fantasy', 'Werewolves', 'Romance', 'Supernatural', 'Paranormal Romance', 'Shapeshifters']","She’s no angel...Poor Dru Anderson. Her parents are long gone, her best friend is a werewolf, and she’s just learned that the blood flowing through her veins isn’t entirely human. (So what else is new?)Now Dru is stuck at a secret New England Schola for other teens like her, and there’s a big problem—she’s the only girl in the place. A school full of cute boys wouldn’t be so bad, but Dru’s killer instinct says that one of them wants her dead. And with all eyes on her, discovering a traitor within the Order could mean a lot more than social suicide...Can Dru survive long enough to find out who has betrayed her trust—and maybe even her heart?",2009,4.08,296,26101
Angel Fire,L.A. Weatherly (Goodreads Author),"['Angels', 'Young Adult', 'Fantasy', 'Paranormal', 'Romance', 'Urban Fantasy', 'Paranormal Romance', 'Supernatural', 'Fiction', 'Adventure']","Only half-angel Willow, 16, has the power to defeat the malevolent Church of Angels, out to destroy her. When her love Alex, 17, leads other trained Angel Killers, they treat her with mistrust and suspicion. Seb, also half-angel, has been searching for Willow all his life, and both finally feel less alone.",2011,4.04,720,16667
Goddess,Josephine Angelini (Goodreads Author),"['Fantasy', 'Young Adult', 'Mythology', 'Romance', 'Paranormal', 'Greek Mythology', 'Paranormal Romance', 'Urban Fantasy', 'Supernatural', 'Fiction']","After accidentally unleashing the gods from their captivity on Olympus, Helen must find a way to re-imprison them without starting a devastating war. But the gods are angry, and their thirst for blood already has a body count.To make matters worse, the Oracle reveals that a diabolical Tyrant is lurking among them, which drives a wedge between the once-solid group of friends. As the gods use the Scions against one another, Lucas’s life hangs in the balance. Still unsure whether she loves him or Orion, Helen is forced to make a terrifying decision, for war is coming to her shores.In Josephine Angelini’s compelling conclusion to the masterfully woven Starcrossed trilogy, a goddess must rise above it all to change a destiny that’s been written in the stars. With worlds built just as fast as they crumble, love and war collide in an all-out battle that will leave no question unanswered and no heart untouched.",2013,4.23,421,28466
Chesapeake,James A. Michener,"['Fiction', 'Historical Fiction', 'Historical', 'American History', 'Novels', 'Adventure', 'Classics', 'Literature', 'Epic', 'Adult']","Once again James A. Michener brings history to life with this 400-year saga of America's great bay and its Eastern Shore. Following Edmund Steed and his remarkable family, who parallel the settling and forming of the nation, CHESAPEAKE sweeps readers from the unspoiled world of the Native Americans to the voyages of Captain John Smith, the Revolutionary War, and right up to modern times.",2003,4.18,1024,22285
The Outcasts,"John Flanagan, Angelika Eisold-Viebig (Translator)","['Fantasy', 'Young Adult', 'Adventure', 'Fiction', 'Middle Grade', 'Historical Fiction', 'Action', 'Young Adult Fantasy', 'Teen', 'Childrens']","From the author of the global phenomenon Ranger's Apprentice!They are outcasts. Hal, Stig, and the others - they are the boys the others want no part of. Skandians, as any reader of Ranger's Apprentice could tell you, are known for their size and strength. Not these boys. Yet that doesn't mean they don't have skills. And courage - which they will need every ounce of to do battle at sea against the other bands, the Wolves and the Sharks, in the ultimate race. The icy waters make for a treacherous playing field . . . especially when not everyone thinks of it as playing. John Flanagan, author of the international phenomenon Ranger's Apprentice, creates a new cast of characters to populate his world of Skandians and Araluens, a world millions of young readers around the world have come to know and admire. Full of seafaring adventures and epic battles, Book 1 of The Brotherband Chronicles is sure to thrill readers of Ranger's Apprentice while enticing a whole new generation just now discovering the books.Perfect for fans of J.R.R. Tolkien’s Lord of the Rings, T.H. White’s The Sword in the Stone, Christopher Paolini’s Eragon series, and George R. R. Martin’s Game of Thrones/A Song of Ice and Fire series.",2011,4.38,434,24189
The Coldest Girl in Coldtown,Holly Black (Goodreads Author),"['Young Adult', 'Fantasy', 'Vampires', 'Paranormal', 'Horror', 'Urban Fantasy', 'Romance', 'Fiction', 'Supernatural', 'Dystopia']","Tana lives in a world where walled cities called Coldtowns exist. In them, quarantined monsters and humans mingle in a decadently bloody mix of predator and prey. The only problem is, once you pass through Coldtown's gates, you can never leave.One morning, after a perfectly ordinary party, Tana wakes up surrounded by corpses. The only other survivors of this massacre are her exasperatingly endearing ex-boyfriend, infected and on the edge, and a mysterious boy burdened with a terrible secret. Shaken and determined, Tana enters a race against the clock to save the three of them the only way she knows how: by going straight to the wicked, opulent heart of Coldtown itself.The Coldest Girl in Coldtown is a wholly original story of rage and revenge, of guilt and horror, and of love and loathing from bestselling and acclaimed author Holly Black.",2013,3.84,419,57128
The World of Divergent: The Path to Allegiant,Veronica Roth (Goodreads Author),"['Fiction', 'Adventure', 'Short Stories', 'Teen', 'Dystopia', 'Action', 'Young Adult', 'Fantasy', 'Science Fiction', 'Science Fiction Fantasy']","Don't miss Divergent, soon to be a major motion picture in theaters March 2014!Fascinated by the world of the Divergent series? This fifty-page bonus, previously only available in the Divergent Series Box Set, includes faction manifestos, a faction quiz, Q&A with #1 New York Times bestselling author Veronica Roth, book playlists, discussion questions, series inspirations, and much more! It also contains ten enticing teasers from Allegiant, the final book in the Divergent series.",2013,3.97,50,31809
The Sailor Who Fell from Grace with the Sea,"Yukio Mishima, John Nathan (Translator)","['Fiction', 'Japan', 'Japanese Literature', 'Classics', 'Literature', 'Novels', 'Asia', 'Asian Literature', '20th Century', 'Literary Fiction']","The Sailor Who Fell from Grace with the Sea tells the tale of a band of savage thirteen-year-old boys who reject the adult world as illusory, hypocritical and sentimental, and train themselves in a brutal callousness they call ""objectivity."" When the mother of one of them begins an affair with a ship's officer, he and his friends idealize the man at first; but it is not long before they conclude that he is in fact soft and romantic. They regard their disappointment in him as an act of betrayal on his part, and react violently.",1994,3.89,181,20621
Peeps,Scott Westerfeld (Goodreads Author),"['Young Adult', 'Vampires', 'Fantasy', 'Science Fiction', 'Paranormal', 'Fiction', 'Horror', 'Urban Fantasy', 'Teen', 'Supernatural']","An alternate cover for this edition can be found hereLast year as college freshman, narrator Cal was infected by exotic goth Morgan with a parasite that caused following girlfriends to become vampire-like ghouls he calls parasite-positives ""Peeps"". A carrier without symptoms, he hunts his progeny for the centuries old bureaucratic Night Watch. But victims are showing more sanity, pretty human Lacey is pushing his buttons, and her apartment building basement houses fierce hordes of ravening rats, red-eyed cats, and monstrous worms that threaten all. Morgan has the secret to a centuries-old conspiracy and upcoming battle to save the human race.",2006,3.77,312,23950
The Ugly Truth,Jeff Kinney (Goodreads Author),"['Humor', 'Fiction', 'Realistic Fiction', 'Childrens', 'Middle Grade', 'Graphic Novels', 'Young Adult', 'Comedy', 'Comics', 'Diary']","Greg Heffley has always been in a hurry to grow up. But is getting older really all it’s cracked up to be?Greg suddenly finds himself dealing with the pressures of boy-girl parties, increased responsibilities, and even the awkward changes that come with getting older—all without his best friend, Rowley, at his side. Can Greg make it through on his own? Or will he have to face the “ugly truth”?",2010,4.19,217,102934
Magician: Apprentice,Raymond E. Feist,"['Fantasy', 'Fiction', 'Epic Fantasy', 'High Fantasy', 'Science Fiction Fantasy', 'Magic', 'Adventure', 'Science Fiction', 'Young Adult', 'Epic']","An alternate cover edition of this ISBN can be found here.To the forest on the shore of the Kingdom of the Isles, the orphan Pug came to study with the master magician Kulgan. His courage won him a place at court and the heart of a lovely Princess, but he was ill at ease with normal wizardry. Yet his strange magic may save two worlds from dark beings who opened spacetime to renew the age-old battle between Order and Chaos.",1994,4.15,485,84125
Obsession,Jennifer L. Armentrout (Goodreads Author),"['Paranormal', 'Romance', 'Aliens', 'New Adult', 'Fantasy', 'Paranormal Romance', 'Adult', 'Science Fiction', 'Supernatural', 'Urban Fantasy']","This is a stand alone novel that is an adult spin-off of the Lux Series You do not need to read a Lux book to read Obsession and vice versa.He’s arrogant, domineering, and... To. Die. For.Hunter is a ruthless killer. And the Department of Defense has him firmly in their grasp, which usually doesn’t chafe too badly because he gets to kill bad guys. Most of the time he enjoys his job. That is, until he’s saddled with something he’s never had to do before: protect a human from his mortal enemy.Serena Cross didn’t believe her best friend when she claimed to have seen the son of a powerful senator turn into something... unnatural. Who would? But then she witnesses her friend’s murder at the hands of what can only be an alien, thrusting her into a world that will kill to protect their secret.Hunter stirs Serena’s temper and her lust despite their differences. Soon he’s doing the unthinkable—breaking the rules he’s lived by, going against the government to keep Serena safe. But are the aliens and the government the biggest threats to Serena’s life… or is it Hunter?",2013,4.12,249,24901
The Information,Martin Amis,"['Fiction', 'Thriller', 'Novels', 'Suspense', 'Drama', 'Mystery', 'Contemporary', 'Literature', 'Literary Fiction', 'British Literature']","Fame, envy, lust, violence, intrigues literary and criminal - they're all here in The Information. How does one writer hurt another writer? This is the question novelist Richard Tull mills over, for his friend Gwyn Barry has become a darling of book buyers, award committees, and TV interviewers, even as Tull himself sinks deeper into the sub-basement of literary failure. The only way out of this predicament, Tull believes, is to plot the demise of Barry.""With The Information, Amis delivers a portrait of middle-age realignment with more verbal felicity and unbridled reach than [anyone] since Tom Wolfe forged Bonfire of the Vanities.""Houston Chronicle",1996,3.51,374,6704
The Complete Grimm's Fairy Tales,"Jacob Grimm, Wilhelm Grimm, Josef Scharl (Illustrator), Padraic Colum (Introduction), Joseph Campbell (Commentary), Margaret Raine Hunt (Translator)","['Classics', 'Fantasy', 'Fiction', 'Fairy Tales', 'Childrens', 'Short Stories', 'Literature', 'German Literature', 'Folklore', 'Mythology']","Originally titled Children’s and Household Tales, The Complete Grimm’s Fairy Tales contains the essential bedtime stories for children worldwide for the better part of two centuries. The Brothers Grimm, Jacob and Wilhelm, were German linguists and cultural researchers who gathered legendary folklore and aimed to collect the stories exactly as they heard them. 2012 marked the 200th anniversary of Grimm’s Fairy Tales, and what better way to celebrate than to include all 211 stories into the Knickerbocker Classic Series?Featuring all your favorite classics, including “Hansel and Gretel,” “Cinderella,” “The Frog Prince,” “Rapunzel,” “Snow White,” “Rumpelstiltskin,” and dozens more, The Complete Grimm’s Fairy Tales is also accompanied by 40 color plates and 60 black and white illustrations from award-winning English illustrator Arthur Rackham, whose books and prints are now highly sought-after collectibles.The third title in the Knickerbocker Classic series has 800 pages of classic fairy tales to enjoy and will also feature a full-cloth binding, ribbon marker, and will fit neatly in an elegant slipcase for your personal library collection.Also includes a selection of stunning color reproductions by the famous illustrator, Arthur Rackham.",1976,4.28,880,146565
